Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
646 E Beverly Way,93704,Jul-20,"186,000",3,1.75,"1,158",TRUE,"7,579",74
1350 N Chestnut Ave,93703,Jul-20,"205,000",3,1.75,"1,176",TRUE,"6,899",60
4978 E Iowa Ave,93727,Jul-20,"220,000",3,1,"1,092",TRUE,0.27 a,71
5647 W Indianapolis Ave,93722,Jul-20,"250,000",3,2,"1,407",TRUE,"4,748",25
2320 W Carmen Ave,93728,Jul-20,"252,000",4,2,"1,454",TRUE,"10,049",61
10443 N Woodrow Ave,93730,Jul-20,"339,000",3,2,"1,678",TRUE,"5,301",23
2035 N Van Ness Blvd,93704,Jul-20,"649,000",3,1,-1,TRUE,"6,229",83
3412 N Redda Rd,93737,Jul-20,"370,000",5,3,"2,046",TRUE,"6,263",8
7464 E Robinson Ave,93737,Jul-20,"318,500",3,2.5,"1,780",TRUE,-1,2021
2555 W Bluff Ave #168,93711,Jul-20,"600,000",3,2,"2,528",TRUE,"9,901",2021
379 N Delno Ave,93706,Jul-20,"115,000",3,1,"1,028",TRUE,"7,618",95
5478 E Butler Ave,93727,Jul-20,"590,000",3,3.5,"4,182",TRUE,0.74 a,47
4588 S Maple Ave,93725,Jul-20,"385,000",2,3,"2,344",TRUE,1.00 a,70
2618 W Shields Ave,93705,Jul-20,"275,000",6,3,"2,385",TRUE,"9,713",72
1213 E Simpson Ave,93704,Jul-20,"240,000",3,2,"1,178",TRUE,"8,102",68
2905 N Vagedes Ave,93705,Jul-20,"240,000",2,1,"1,285",TRUE,"7,222",70
1014 N Arthur Ave,93728,Jul-20,-1,2,1,804,TRUE,-1,93
5430 W Paul Ave,93722,Jul-20,"285,500",3,2,"1,754",TRUE,"6,599",30
1429 E Via Viola Way,93730,Jul-20,"369,500",3,3,"1,641",TRUE,"2,354",2021
1866 E Lester Ave,93720,Jul-20,"380,000",4,3,"2,234",TRUE,"6,534",28
7488 N Highgrove Ln,93711,Jul-20,"1,600,000",5,6,"5,223",TRUE,0.44 a,13
6460 N Tahan Ave,93711,Jul-20,"607,000",4,3,"3,222",TRUE,0.35 a,43
6240 N Ellendale Ave,93722,Jul-20,"290,000",3,2,"1,712",TRUE,"7,139",31
5434 E Pontiac Way,93727,Jul-20,"310,000",3,2,"1,504",TRUE,0.34 a,65
5224 E Hoxie Ave,93725,Jul-20,"283,000",3,2,"1,715",TRUE,"8,881",9
358 E Deer Creek Ln,93720,Jul-20,"309,000",3,2.5,"1,550",TRUE,"5,340",2021
6055 E Lowe Ave,93727,Jul-20,"305,000",3,2.5,"1,712",TRUE,0.33 a,63
4583 E Illinois Ave,93702,Jul-20,"159,500",3,1,902,TRUE,"6,250",90
358 E Deer Creek Ln,93720,Jul-20,"309,000",3,2.5,"1,550",TRUE,"5,340",2021
896 E Minarets Ave,93720,Jul-20,"380,000",4,2,"2,427",TRUE,"8,498",42
4781 E Simpson Ave,93703,Jul-20,"150,000",3,2,"1,325",TRUE,-1,2021
750 W Weldon Ave,93705,Jul-20,"190,500",3,1.5,"1,051",TRUE,"5,641",110
1229 W Bullard Ave #116,93711,Jul-20,"250,000",2,2,"1,470",TRUE,"3,598",2021
6169 W Concordia Dr,93722,Jul-20,"340,000",3,3,"2,145",TRUE,"5,148",2021
